Designator,Mid X,Mid Y,Rotation,Layer
C1,149.81,-56.33,0.0,top
C10,165.64,-81.92,180.0,top
C11,165.64,-78.91,180.0,top
C12,147.9,-84.94,90.0,top
C13,155.77,-78.89,180.0,top
C2,149.81,-59.34,0.0,top
C3,162.22,-57.13,90.0,top
C4,161.57,-78.89,0.0,top
C5,161.57,-81.9,0.0,top
C6,161.57,-84.91,0.0,top
C7,161.57,-87.94,0.0,top
C8,165.64,-87.94,180.0,top
C9,165.64,-84.93,180.0,top
D1,42.539999,-56.765,180.0,top
D10,99.689999,-66.29,0.0,top
D11,118.739999,-71.0525,180.0,top
D12,137.789999,-75.815,0.0,top
D13,42.539999,-94.865,180.0,top
D14,61.589999,-94.865,0.0,top
D15,80.639999,-90.1025,180.0,top
D16,99.689999,-85.34,0.0,top
D17,118.739999,-90.1025,180.0,top
D18,137.789999,-94.865,0.0,top
D19,42.539999,-113.915,180.0,top
D2,61.589999,-56.765,0.0,top
D20,61.589999,-113.915,0.0,top
D21,80.639999,-109.1525,180.0,top
D22,99.689999,-104.39,0.0,top
D23,118.739999,-109.1525,180.0,top
D24,137.789999,-113.915,0.0,top
D25,80.639999,-128.2025,180.0,top
D26,99.689999,-123.44,0.0,top
D27,118.739999,-128.2025,180.0,top
D28,139.13375,-137.795477,345.0,top
D29,160.017463,-144.276168,150.0,top
D3,80.639999,-52.0025,180.0,top
D4,99.689999,-47.24,0.0,top
D5,118.739999,-52.0025,180.0,top
D6,137.789999,-56.765,0.0,top
D60,162.22,-48.68,90.0,top
D7,42.539999,-75.815,180.0,top
D8,61.589999,-75.815,0.0,top
D9,80.639999,-71.0525,180.0,top
J4,151.25,-64.4,90.0,top
R1,164.32,-57.11,90.0,top
R2,158.14,-58.43,90.0,top
R3,147.43,-39.13,180.0,top
R4,147.43,-41.1,180.0,top
R5,162.22,-52.22,90.0,top
SKD1,38.105,-42.365,0.0,top
SKD10,95.255,-51.89,0.0,top
SKD11,114.305,-56.6525,0.0,top
SKD12,133.355,-61.415,0.0,top
SKD13,38.105,-80.465,0.0,top
SKD14,57.155,-80.465,0.0,top
SKD15,76.205,-75.7025,0.0,top
SKD16,95.255,-70.94,0.0,top
SKD17,114.305,-75.7025,0.0,top
SKD18,133.355,-80.465,0.0,top
SKD19,38.105,-99.515,0.0,top
SKD2,57.155,-42.365,0.0,top
SKD20,57.155,-99.515,0.0,top
SKD21,76.205,-94.7525,0.0,top
SKD22,95.255,-89.99,0.0,top
SKD23,114.305,-94.7525,0.0,top
SKD24,133.355,-99.515,0.0,top
SKD25,76.205,-113.8025,0.0,top
SKD26,95.255,-109.04,0.0,top
SKD27,114.305,-113.8025,0.0,top
SKD28,138.576863,-122.738284,345.0,top
SKD29,163.37664,-129.587903,330.0,top
SKD3,76.205,-37.6025,0.0,top
SKD4,95.255,-32.84,0.0,top
SKD5,114.305,-37.6025,0.0,top
SKD6,133.355,-42.365,0.0,top
SKD7,38.105,-61.415,0.0,top
SKD8,57.155,-61.415,0.0,top
SKD9,76.205,-56.6525,0.0,top
SW1,38.1,-47.625,180.0,top
SW10,95.25,-57.15,180.0,top
SW11,114.3,-61.9125,180.0,top
SW12,133.35,-66.675,180.0,top
SW13,38.1,-85.725,180.0,top
SW14,57.15,-85.725,180.0,top
SW15,76.2,-80.9625,180.0,top
SW16,95.25,-76.2,180.0,top
SW17,114.3,-80.9625,180.0,top
SW18,133.35,-85.725,180.0,top
SW19,38.1,-104.775,180.0,top
SW2,57.15,-47.625,180.0,top
SW20,57.15,-104.775,180.0,top
SW21,76.2,-100.0125,180.0,top
SW22,95.25,-95.25,180.0,top
SW23,114.3,-100.0125,180.0,top
SW24,133.35,-104.775,180.0,top
SW25,76.2,-119.0625,180.0,top
SW26,95.25,-114.3,180.0,top
SW27,114.3,-119.0625,180.0,top
SW28,137.210646,-127.817759,165.0,top
SW29,160.74231,-134.140696,150.0,top
SW3,76.2,-42.8625,180.0,top
SW30,152.49,-70.17,180.0,top
SW31,152.49,-74.82,0.0,top
SW4,95.25,-38.1,180.0,top
SW5,114.3,-42.8625,180.0,top
SW6,133.35,-47.625,180.0,top
SW7,38.1,-66.675,180.0,top
SW8,57.15,-66.675,180.0,top
SW9,76.2,-61.9125,180.0,top
U1,168.32,-51.52,0.0,top
U2,154.57,-49.94,90.0,top
U3,153.56,-84.7675,180.0,top
USB1,155.22,-27.822,180.0,top
Y1,154.59,-58.49,180.0,top
